Начало,Конец,Город,название,Описание,Возрастной рейтинг,Ссылка,Название фандома/фильма/аниме,Активность,Контент,Музыка
1/4/2021,1/5/2021,Онлайн,Деткон XV онлайн,"Ролевые игры, настольные игры, фантастика, творчество",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,-,-
1/22/2021,5/30/2021,Москва,Фукусима: надежда и отчаяние,"Фотовыставка, Сигэру Ёсида",Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
1/30/2021,1/30/2021,Тула,Yuki no Odori (YnO),"Аниме, косплей, K-pop, восточно-азиатская культура",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,K-pop
2/4/2021,2/8/2021,Санкт-Петербург,54-й фестиваль японского кино ,Японское кино,Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
2/21/2021,2/21/2021,Миасс,АНИМЕФЕСТ,"Аниме, фотокосплей, косплей, ярмарка",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,ярмарка,-
2/28/2021,2/28/2021,Онлайн,АзияБриз: Зима,"Вокал, выставка кукол, фотокосплей, мастер-классы, ёнкома",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,-
3/7/2021,3/7/2021,Онлайн,Орден Сюн Мао,"Квесты, косплей, творчество, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
4/4/2021,4/4/2021,Казань,Yokai Kabuki ,"Азиатская культура, анимация, караоке, ярмарка, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,-,мастер-классы,караоке
4/10/2021,4/10/2021,Архангельск,Анимия,Восточная культура,Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
4/10/2021,4/10/2021,Нижний Новгород,ASIA ZONE: BIRTHDAY PARTY,"K-pop, розыгрыш, дискотека",12+,https://anime-conventions.ru/cities/2021.html,-,-,-,K-pop
4/10/2021,4/11/2021,Рязань,Моя сцена,"Косплей, фильмы, аниме, компьютерные игры",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,-
4/11/2021,4/11/2021,Москва,Аниме и К-поп пати День аниме,"Аниме, косплей, настольные игры, конкурсы, творчество",10+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,-
4/17/2021,4/17/2021,Москва,AnyWay Fest ,"Аниме, косплей, игры, кино, актеры озвучки, музыканты",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,-
4/17/2021,4/18/2021,Ярославль,FAP. Festival of Asian Popular culture,"Косплей, конкурсы, дефиле, танцы, караоке, кино",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,кароке
4/17/2021,4/18/2021,Онлайн,Geek-конвент «CON.Версия» 9.5,"Конкурсы, игры, сценические номера, приглашенные гости",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,-,-
4/24/2021,4/24/2021,Москва,Аниме и К-поп пати : Наруто x Акацуки!,"Аниме, K-pop, Наруто, косплей, дискотека, настольные игры, творчество",10+,https://anime-conventions.ru/cities/2021.html,Наруто,настольные игры,аниме,K-pop
5/1/2021,5/3/2021,Владивосток,Kuroi Sora // Animate It! // ,"Косплей, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
5/1/2021,5/1/2021,Кострома,Anime & K-Pop fest from Wasp ,"Аниме, K-pop, мастер-классы, ярмарка, косплей, танцы, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,K-pop
5/1/2021,5/1/2021,Самара,DEADLINE vol.4,Гик-культура,12+,https://anime-conventions.ru/cities/2021.html,-,-,-,-
5/1/2021,5/3/2021,Онлайн,Всероссийский фестиваль японской анимации,"Видеокосплей, косплей, концерт, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,-
5/8/2021,5/8/2021,Санкт-Петербург,M.Ani.Fest (МАФ),"Косплей, настольные игры, манга, аниме, игры, ярмарка, танцы, творчество, квесты",16+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,ярмарка,Cover-dance
5/14/2021,5/16/2021,Минск,Uniсon & Game Expo ,"Настольные игры, комиксы, игры, косплей, творчество, фильмы, сериалы, литература, приглашенные гости",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,комиксы,-
5/15/2021,5/15/2021,Краснодар,Endless AniFest,"Конкурсы, ярмарка, косплей, дефиле, K-pop, приглашенные гости",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,ярмарка,K-pop
5/15/2021,5/15/2021,Рязань,K-POP SPRING PARTY,"K-pop, выступления, танцы, ярмарка, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,-,ярмарка,Cover-dance
5/16/2021,5/16/2021,Москва,Тогучи,"Косплей, аниме, манга, j-rock, японская мода, фильмы, мультфильмы, книги, комиксы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,комиксы,-
5/22/2021,5/22/2021,Ульяновск,EoS Fest ,"Конкурсы, косплей, дефиле, танцы, вокал, выступления",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
5/23/2021,5/23/2021,Екатеринбург,Киновечер Аниме от AIRFOX24 ,"Аниме, кино, косплей, дефиле, мастер-классы, ярмарка, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,-
5/23/2021,5/23/2021,Москва,Смерть тетрадям,"Аниме, J-pop, OST, K-pop, конкурсы, косплей, настольные игры, творчество",10+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,K-pop
5/28/2021,5/29/2021,Москва,АНИМЕ И К-ПОП ПАТИ : СМЕРТЬ ТЕТРАДЯМ!,"Игры, настольные игры, аниме, дискотека, J-pop, OST, K-pop",18+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,K-pop
5/29/2021,5/29/2021,Казань,Fenix ,"Косплей, творчество, караоке, аниме, японская культура, американская культура, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,караоке
5/29/2021,5/30/2021,Санкт-Петербург,Epic Con 0+,"Фильмы, сериалы, игры, анимация, книги, настольные игры, косплей, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,-
6/1/2021,6/6/2021,Екатеринбург,Косплей-выставка ,"Косплей, дефиле, мастер-классы, фотокосплей",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,-
6/5/2021,6/5/2021,Москва,GEEK & MUSIC ,"Гик-культура, музыка, квесты, конкурсы, ярмарка, косплей, игры, настольные игры, дефиле, мастер-классы, творчество",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,ярмарка,-
6/6/2021,6/6/2021,Москва,Кигуруми Аниме и К-поп пати,"Аниме, дискотека, J-pop, OST, K-pop, косплей, игры, настольные игры, творчество, конкурсы",10+,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,K-pop
6/19/2021,6/19/2021,Димитровград,MIZUKI FEST ,"Ярмарка, аллея авторов, творчество, сценическая программа",Нет,https://anime-conventions.ru/cities/2021.html,-,-,ярмарка,-
6/20/2021,6/20/2021,Москва,Неко Аниме и К-поп пати,"Аниме, дискотека, J-pop, OST, K-pop, косплей, игры, настольные игры, творчество, конкурсы",10+,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,K-pop
6/20/2021,6/20/2021,Петропавловск-Камчатский,CowabunGoСon ,"Аниме, фантастика, кино, наука, настольные игры, выставка, косплей",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,-
6/26/2021,6/26/2021,Дубна,AtomCosCon ,"Косплей, творчество, конкурсы, вокал",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
6/26/2021,6/27/2021,Москва, Аниме и К-поп пати: Кигуруми!,"Игры, настольные игры, аниме, дискотека, J-pop, OST, K-pop",18+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,K-pop
6/27/2021,6/27/2021,Москва,Anime Party by toosyao13 ,"Аниме, музыка, косплей, настольные игры, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,-
7/3/2021,7/3/2021,Кемерово,CROSSxOVER ,"Вокал, косплей, дефиле, игры, K-pop, рок-музыка, творчество, ярмарка, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,K-pop
7/10/2021,7/11/2021,Москва,FFP | FREE FANDOM PARTY MASK | TRIPLE F,"Гик, ярмарка, косплей, сериалы, фильмы, аниме, комиксы, манга, K-pop, книги, игры, аллея авторов, творчество, приглашенные гости, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,комиксы,K-pop
7/10/2021,7/10/2021,Минск,Летний фестиваль Кампай,"Группа Альциона, косплей, конкурсы, K-pop, настольные игры",12+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,-,K-pop
7/17/2021,7/17/2021,Калуга,ANI-SHINAI ,"Косплей, восточная культура, гик-культура, аниме, косплей, игры, фильмы, мультфильмы, комиксы, ярмарка, конкурсы, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,-
7/24/2021,7/25/2021,Тула,Korean Dream ,"K-pop, танцы, творчество, фан-арты, косплей",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,Cover-dance
7/30/2021,7/30/2021,Москва,Аниме К-поп пати Кигуруми,"Игры, настольные игры, аниме, дискотека, J-pop, OST, K-pop",18+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,K-pop
7/31/2021,7/31/2021,Самара,DRAGONFLY FESTIVAL ,"Конкурсы, танцы, вокал, айдолы, мастер-классы, ярмарка",Нет,https://anime-conventions.ru/cities/2021.html,-,-,ярмарка,Cover-dance
7/31/2021,8/1/2021,Онлайн,ОТАКОН,"Японская культура, аниме, манга, косплей, сериалы, игры, комиксы, ярмарка, мастер-классы, Миядзаки, Мадока",12+,https://anime-conventions.ru/cities/2021.html,Хаяо Миядзаки,косплей,мастер-классы,-
8/1/2021,8/1/2021,Москва,Tanoshii Fest ,"Ярмарка, мастер классы, настольные игры",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,ярмарка,-
8/7/2021,8/7/2021,Екатеринбург,АзияБриз: Ханаби,"Аниме, косплей, ярмарка,  мастеры классы, k-pop dance",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,ярмарка,K-pop
8/7/2021,8/7/2021,Москва,AnyWay Fest Mk II ,"Косплей, настольные игры",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
8/7/2021,8/7/2021,Москва,UnityCon Mini ,"Косплей, ярмарка, рисование",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,"ярмарка, ",-
8/8/2021,8/8/2021,Краснодар,Cyberpunk AniFest,"Косплей, k-pop cover dance, ярмарка, мастер классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,K-pop
8/14/2021,8/15/2021,Онлайн,Geek Fest ,"Косплей-конкурс, школа комиксов, фотопроект по косплеям",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,комиксы,-
8/15/2021,8/15/2021,Москва,Sofa | Free | Time Fest,"Настольные игры, косплей, аниме",12+,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,-
8/21/2021,8/21/2021,Ростов-на-Дону,Танибата ,"Восточная культура, восточное кино, k-pop, косплей",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,K-pop
8/21/2021,8/21/2021,Ставрополь,GeekCon ,"Фильмы, сериалы, компьютерные игры, анимации, косплей, cover dance",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,Cover-dance
8/21/2021,8/21/2021,Мариуполь,GeekON ,"Косплей дефиле, выступления вокалистов и танцоров, квест",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
8/22/2021,8/22/2021,Москва,Toosyao Anime Festival,"Аниме, косплей дефиле, настольные игры, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,-
8/28/2021,8/29/2021,Белгород,GAKKO 13 ,"Дефиле, караоке, танцы, аллея авторов, квесты, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,караоке
8/28/2021,8/28/2021,Екатеринбург,Гиккон ,"Квесты, фотозоны, косплей-шоу, аллея авторов, комиксы, киберспортивные турниры",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,комиксы,-
8/28/2021,8/28/2021,Киров,"AiO - ""Light""","Азиатская-поп-культура ""Umami"", конкурс ролевого костюма, настольные игры, вальс",Нет,https://anime-conventions.ru/cities/2021.html,-,ролевые игры,-,-
8/29/2021,8/29/2021,Казань,Yokai Matsuri,"Аизатская культура, конкурс караоке, cover-dance, мастер классы, аниме-ярмарка",0+,https://anime-conventions.ru/cities/2021.html,-,-,мастер-классы,караоке
8/29/2021,8/29/2021,Москва,Тогучи ,"Косплей на любимого персонажа из традиоционных восточных направлений и зарубежных фильмов, сценки, танцы, игры со зрителями",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
9/4/2021,9/4/2021,Санкт-Петербург,Вечеринка от Мечтателей и RP,"Вечеринка, музыка",18+,https://anime-conventions.ru/cities/2021.html,-,-,-,-
9/4/2021,9/4/2021,Санкт-Петербург,AniCon ,"Аниме, комиксы, фильмы, сериалы, сценки, мастер классы по японской культуре, танцам и рисованию",Нет,https://anime-conventions.ru/cities/2021.html,-,-,комиксы,-
9/12/2021,9/12/2021,Волгоград,"""ЧитальНЯ""","Косплей, кей-поп, фанфикшн, сценка, караоке, викторины, настольные игры, конкурсы",5 - 6+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,-,караоке
9/18/2021,9/18/2021,Москва,AnyWay Fest Mk II ,"Фантастика, игры, сериалы, мультфильмы, кино, ярмарка, настольные игры",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,ярмарка,-
9/18/2021,9/18/2021,Ульяновск,TestFest v.4.0,"Косплей-дефиле, групповой coverdance, вокальные номера, сценки",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,,Cover-dance
9/25/2021,9/25/2021,Одинцово,Tonakai Festival ,"Косплей, каверданс, вокал, мастер классы, ярмарка, игротека",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,ярмарка,Cover-dance
9/25/2021,9/25/2021,Пенза,Aoiro Hikari,"Косплей-дефиле, вокал, K-pop cover-dance, ярмарка с аниме и k-pop товарами",12+,https://anime-conventions.ru/cities/2021.html,-,косплей,ярмарка,K-pop
9/26/2021,9/26/2021,Волгоград,Японский ШкАФ ,"Японская культура, квесты, танцевальные выступления, косплей",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
10/3/2021,10/3/2021,Краснодар,Darkside Territory | Anime Party by Noraneko - Tokyo Revengers X Durarara!!,"Настольные игры, косплей-дефиле",Нет,https://anime-conventions.ru/cities/2021.html,-,"косплей, настольные игры",-,-
10/3/2021,10/3/2021,Самара,Аниме фестиваль самого дешёвого косплея,"Аниме, выстулпения, стендапы",12+,https://anime-conventions.ru/cities/2021.html,-,-,аниме,-
10/17/2021,10/17/2021,Москва,День Японии от J-FEST ,"Японская культура, мастер-классы, лекция по омотэнаси, чайная церемония",Нет,https://anime-conventions.ru/cities/2021.html,-,-,мастер-классы,-
10/23/2021,10/23/2021,Дубна,ATOMCOSCON,"Косплей, вокал, кавер-дэнс, знакомство с косплеерами мирового уровня, мастер-классы и лекции",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,Cover-dance
10/23/2021,10/23/2021,Минск,Геншин фестиваль Кампай,"Ярмарка аниме и кей-поп товаров, секция консольных и настольных игр, алея творцов, Just Dance фестивальный Геншин квест",12+,https://anime-conventions.ru/cities/2021.html,Genshin Impact,настольные игры,-,-
10/23/2021,10/23/2021,Онлайн,Югракон ,"Мастер-классы, интервью с писателями, презентация комиксов, косплей",12+,https://anime-conventions.ru/cities/2021.html,-,косплей,комиксы,-
10/24/2021,10/24/2021,Санкт-Петербург,Вечеринка от RP: Готовы к хэллоуину?,"Косплей, музыка, танцы, хэллоуин, конкурсы, настольные игры",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,-,-
10/30/2021,10/31/2021,Санкт-Петербург,"21 фестиваль фантастики, науки и самовыражения ""Старкон""","Научная конференция, фестиваль кино, конкурс косплея, кибер-спортивные соревнования, арт-зона, ярмарка, вечеринка",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,ярмарка,-
11/12/2021,12/5/2021,Санкт-Петербург,Парад ёкаев: мистические существа из Японии,"Японская культура, ёкаи",Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
11/13/2021,11/14/2021,Нижний Новгород,ANIMANIA: 18й сезон,"Мейд-кафе, аллея авторов, мастер-классы, Just Dance",Нет,https://anime-conventions.ru/cities/2021.html,-,-,мастер-классы,Just-dance
11/21/2021,11/21/2021,Москва,Тогучи,"Косплей на любого персонажа, сценки, танцы, караоке",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,караоке
11/26/2021,11/26/2021,Москва,J-FEST Autumn ,Японская культура,Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
11/27/2021,11/27/2021,Архангельск,Круас-сан фест,"Косплей, вокал, Cover Dance",12+,https://anime-conventions.ru/cities/2021.html,-,косплей,-,Cover-dance
11/27/2021,11/27/2021,Москва,Снежная КОНСерва — CM.Fest,Фестиваль по Genshin Impact,12+,https://anime-conventions.ru/cities/2021.html,Genshin Impact,-,-,-
11/28/2021,11/28/2021,Тольятти ,Кайга-fest,"Большая аниме и k-pop ярмарки, видеоигры, настольные игры, just dance, множество мастер-классов, квест",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,ярмарка,Just-dance
12/5/2021,12/5/2021,Москва,Toosyao Anime Festival ,"Аниме и музыка из аниме, видеоигры, настольные игры, косплей",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,-
12/11/2021,12/12/2021,Москва,AnyPony Fest ,"Косплей, ярмарка, музыка",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,ярмарка,-
12/11/2021,12/11/2021,Тольятти,Кайга-fest,"Большая аниме и k-pop ярмарки, видеоигры, настольные игры, just dance, множество мастер-классов, квест",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,ярмарка,Just-dance
12/12/2021,12/12/2021,Воронеж,Horboo Anime Festival ,"Косплей, аниме, Geek увлечения ",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,-
12/16/2021,12/25/2021,Санкт-Петербург,55-й фестиваль японского кино,"Японское кино (комедия, историческая драма, научная фантастика, фильмы с элементами триллера, а также анимация)",Нет,https://anime-conventions.ru/cities/2021.html,-,-,аниме,-
12/18/2021,12/19/2021,Новосибирск,Moon Rabbit,"Косплей, вокал, хореографические выступления",16+,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
12/19/2021,12/19/2021,Санкт-Петербург,[Поместье RP] Рождество с Окита-Дан ,"Настольные игры, караоке, викторины, аниме ",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,караоке
12/26/2021,12/26/2021,Волгоград,Снежная ЧитальНЯ,Фотокосплей (по аниме / комиксам / играм / Новому году),6+,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
1/9/2022,1/9/2022,Краснодар,Spooky Christmas AniFest,"Мастер-классы, ярмарка, Хеллоуин, Рождество",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,мастер-классы,-
1/15/2022,1/15/2022,Воронеж,Happy Matsuri ,"аниме, K-pop, игры, косплей ",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,аниме,K-pop
1/16/2022,1/16/2022,Хабаровск,WINTER ANIME&K-POP GEEK FEST ,"Cosplay Defile, Cover Dance",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,аниме,Cover-dance
1/30/2022,1/30/2022,Москва,Тогучи ,"косплей, аниме, манга, дунхуа, маньхуа, дорамы, фильмы, мультфильмы, книги, комиксы, знаменитости, исторический костюм, авторский костюм, танцы, дефиле, караоке",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,аниме,Just-dance
1/30/2022,1/30/2022,Могилёв,Anime Festival 1.0 ,"косплей, настольные игры, K-POP, аниме, комиксы",12+,https://anime-conventions.ru/cities/2022.html,Наруто,настольные игры,мастер-классы,K-pop
2/5/2022,2/5/2022,Екатеринбург,АзияБриз Зима: Миры Миядзаки,"Хаяо Миядзаки, косплей, мастер-классы, игры, кино, аниме, комиксы, ",нет,https://anime-conventions.ru/cities/2022.html,Хаяо Миядзаки,косплей,мастер-классы,-
2/5/2022,2/5/2022,Новосибирск,That Fest ,"дефиле, Cover Dance, караоке, сценические постановки",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,ярмарка,Cover-dance
2/6/2022,2/6/2022,Уфа,AniCos UfA ,"аниме, косплей",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,аниме,-
2/12/2022,2/12/2022,Тула,Yuki no Odori (YnO) ,"аниме, игры, косплей, другие миры",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,аниме,-
2/13/2022,2/13/2022,Белгород,KAGAMI FEST,"дефиле, Genshin Impact, День Святого Валентина",нет,https://anime-conventions.ru/cities/2022.html,Genshin Impact,косплей,ярмарка,-
2/13/2022,2/13/2022,Минск,Кампай. День влюблённых ,"аниме, кей-поп, настольные игры, Just Dance, Акио Ю, косплей",6+,https://anime-conventions.ru/cities/2022.html,-,настольные игры,ярмарка,Just-dance
2/19/2022,2/19/2022,Москва,Sofa | Free | Time Fest |,"Косплей, ярмарка, Клинок рассекающий демонов",нет,https://anime-conventions.ru/cities/2022.html,"Клинок, рассекающий демонов",косплей,ярмарка,-
2/19/2022,2/19/2022,онлайн,Mini-fest contest,"Косплей, медиа-конкурс, ",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,-,-
2/27/2022,2/27/2022,Миасс,АНИМЕФЕСТ,"аниме, косплей- шоу, кавер данс",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,аниме,Cover-dance
3/6/2022,3/6/2022,Барнаул,New Genesis Fest || NGF ,"Neon Genesis Evangelion, косплей-дефиле, Cover Dance, караоке, Mortal Kombat, DnD, ",14+,https://anime-conventions.ru/cities/2022.html,Neon Genesis Evangelion,косплей,аниме,караоке
3/13/2022,3/13/2022,Архангельск,GemFest ,"мультифандом, японская анимация, косплей, световое шоу, танцы, вокал, ярмарка",12+,https://anime-conventions.ru/cities/2022.html,-,косплей,ярмарка,-
3/13/2022,3/13/2022,Москва,Toosyao Anime Festival ,"косплей, аниме, компьютерные игры, дефиле, настольные игры, ",нет,https://anime-conventions.ru/cities/2022.html,-,настольные игры,аниме,-
3/13/2022,3/13/2022,Новосибирск,NEET & WORK Waifu Fest,"День всех влюбленных, Международный женский день, косплей дефиле, настольные игры, Just Dance",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,мастер-классы,Just-dance
3/20/2022,3/20/2022,Уфа,KANICO: Любование Сакурой,"современная молодежная визуальная культура, аниме, косплей",нет,https://anime-conventions.ru/cities/2022.html,-,косплей,аниме,-
3/26/2022,3/26/2022,Комсомольск-на-Амуре,HaruHisuteri ,"косплей, злодеи",14+,https://anime-conventions.ru/cities/2022.html,-,косплей,-,-
4/2/2022,4/2/2022,Москва,Весенняя КОНСерва  — Genshin Impact Festival ,Genshin Impact,12+,https://anime-conventions.ru/cities/2022.html,Genshin Impact,косплей,ярмарка,-
4/9/2022,4/9/2022,Архангельск,Анимия ,"восточная культура, косплей",12+,https://anime-conventions.ru/cities/2022.html,-,косплей,-,-
