Начало,Конец,Город,название,Описание,Возрастной рейтинг,Ссылка,Название фандома/фильма/аниме,Активность,Контент,Музыка
10/5/2024,10/5/2024,Набережные Челны,РУБИКОН ФЕСТ ,"гик-культура, косплей, кавер-дэнс, настольные игры, видеоигры, Just Dance, Mortal Kombat 1, The Sims, Arcane, комиксы, Genshin Impact, Hazbin Hotel, ОНО, Магистр дьявольского культа, Великий из бродячих псов, Trigun Stampede, Identity V, Darkest Dungeon, Onmyouji Aren, RE:VERSE",12+,https://anime-conventions.ru/cities/2024.html,Цифровой Цирк,настольные игры,комиксы,Just-dance
10/5/2024,10/5/2024,Пенза,Hikari FEST ,"косплей, азиатская культура, аниме, Cover-dance, гик-культура, МЕЙД-КАФЕ",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,Cover-dance
10/12/2024,10/12/2024,Москва,CONstanta ,"косплей, игры, HoYoversе, Геншин Импакт, Хонкай Стар Рейл",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,-,-
10/13/2024,10/13/2024,Москва,Косплей Аниме К-поп Геншин пати от НЯпати,"Косплей, Аниме,К-поп, Геншин, игры, Настольные игры, танцы",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,настольные игры,аниме,K-pop
10/19/2024,10/19/2024,Екатеринбург,JustGeek,"АНИМЕ, K-POP, COVER DANCE, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,"K-pop, Cover-dance"
10/20/2024,10/20/2024,Москва,ReeFest ,"Косплей, настольные игры, Genshin Impact, Assasin's creed, Fallout, Человек-бензопила, Project Sekai",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,-,-
10/20/2024,10/20/2024,Норильск,GeekOn ,"комиксы, манга, Аниме, сериалы, Кино, видеоигры, анимация, сериалы, косплей, танцы",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,-
10/26/2024,10/26/2024,Архангельск,Yuki Con ,"аниме, игры, косплееры, каверденсеры",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,Cover-dance
10/26/2024,10/26/2024,Краснодар,Medieval AniFest,"Средневековье, Шрек, косплей, игры, k-pop",нет,https://anime-conventions.ru/cities/2024.html,Шрек,косплей,-,K-pop
10/27/2024,10/27/2024,село Мирное,UME BONFIRE FEST ,"хэллоуин, Бункер, Мафия, настольные игры, косплей",14+,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
11/2/2024,11/2/2024,Самара,Deadline!! Halloween event ,"хэллоуин, косплей, K-POP, cover dance, каллиграфия, сёги, туми иши, рисовый поединок, кендама, цзяньцзы, Клинок, рассекающий демонов, Mineshield, Геншин импакт, Евангелион, Благословение небожителей, Гравити Фолз, Зайчик, Fnaf security breech, Геншин Импакт, For Honor, Let It Die, Оно, Ужасающий, BABYMONSTER, Bendy and the ink machine, FNAF 4, Jennie",12+,https://anime-conventions.ru/cities/2024.html,"Клинок, рассекающий демонов",настольные игры,мастер-классы,K-pop
11/3/2024,11/4/2024,Москва,Hinode x Console Gaming Festival ,"видеоигры, косплей, традиционное искусство Азии, игры на консолях Nintendo, PlayStation и Xbox, для всей семьи",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
11/3/2024,11/3/2024,Ставрополь,Kitsune Fest,"фестиваль азиатской, гик-, поп- и косплей-культуры, языковые лекции, игры, ",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,мастер-классы,-
11/17/2024,11/17/2024,Москва,AnimatiCon,"инди анимация, студия Глитч, Цифровой Цирк, Дроны Убийцы, косплей, настольные игры",нет,https://anime-conventions.ru/cities/2024.html,Цифровой Цирк,настольные игры,-,-
11/23/2024,11/23/2024,Москва,Impact Wave,"косплей, игры вселенной HoYoverse",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,-,-
11/24/2024,11/24/2024,Краснодар,OokamiFest ,Косплей,12+,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
11/24/2024,11/24/2024,Москва,Тогучи ,"косплей, аниме, манга, j-rock, уличная японская мода, фильмы, мультфильмы, книги, комиксы, знаменитости, исторический костюм, авторские костюмы, сценки, танцы, дефиле, караоке, игры со зрителями",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,караоке
11/30/2024,11/30/2024,Владивосток,AI! Repeat ,косплей,16+,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
12/8/2024,12/8/2024,Сочи,Shan-Fest ,"китайская культура, туйшоу, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,мастер-классы,-
12/20/2024,12/22/2024,Москва,Хомякон ,"Комиксы, косплей, настолки, DnD, аниме, издательство BUBBLE, K-POP, гик-культура, Плюс Студия",нет,https://anime-conventions.ru/cities/2024.html,Майор Гром,косплей,аниме,K-pop
12/22/2024,12/22/2024,Санкт-Петербург,Fantasy Likee Fest ,"соцсеть Likee, игры, Кавер-дэнс, косплей, настолки, ретро-игры",нет,https://anime-conventions.ru/cities/2024.html,-,настольные игры,-,Cover-dance
1/4/2025,1/4/2025,Владимир,ManukeFest Winter ,"Косплей, каверденс, маркет, аллея авторов",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,-
1/11/2025,1/11/2025,Нижний Новгород,FAN FAN ,"Косплей, танцевальные постановки, вокальные выступления, сценические постановки, аллея авторов, файтинг-турниры на игровых консолях, настольные игры, выставка фотокосплея и фан-арта, ярмарка geek-товаров.",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
1/11/2025,1/11/2025,Симферополь,The lil-Fest: Lost in the future 14+,"Косплей, k-pop, игры, торговый холл, конкурсы",14+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,ярмарка,K-pop
1/19/2025,1/19/2025,Москва,Aniworld Fest ,"Косплей, маркет с Anime/K-рор/Geeк товарами, конкурсы, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,K-pop
1/19/2025,1/19/2025,Тула,Yuki no Odori (YnO) 14,"Аниме, игры, косплей, k-pop",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,K-pop
1/25/2025,1/25/2025,Воронеж,Happy Matsuri ,"Аниме, k-pop, игры, сериалы, косплей, ярмарка",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,K-pop
1/25/2025,1/25/2025,Екатеринбург,Yusagi Fest: Christmas Fandom 12+,"Гик и азиатская культура, косплей, конкурсы, кавердэнс, вокал, аллея авторов, ярмарка ",12+,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,Cover-dance
1/26/2025,1/26/2025,Москва,ALIA FEST 16+,"Косплей, вокальные номера, выступления приглашенных артистов, лекции, мастер-классы, тематические фотозоны, аллея авторов, конкурсы, интерактивы ",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
2/1/2025,2/1/2025,Балаково,Лунный Новый Год: Чуньцзе ,"Современная азиатская культура, каверденс, вокал, косплей",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,Cover-dance
2/1/2025,2/1/2025,Екатеринбург,АзияБриз Зима: Магия дружбы 12+,"Косплей, танцы, вокал, мастер-классы, игры, кино, аниме, комиксы, фотозоны ",12+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,комиксы,-
2/1/2025,2/2/2025,Москва,ЛЮБфест ,"Косплей, игры, поп-культура, маркет",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
2/2/2025,2/2/2025,Москва,Фестиваль косплея Тогучи ,"Аниме, манга, j-rock, фильмы, мультфильмы, книги, комиксы, знаменитости, сценки, танцы, дефиле, караоке, игры со зрителями, ярмарка, профессиональные фотозоны",нет,https://anime-conventions.ru/cities/2025.html,-,-,ярмарка,караоке
2/2/2025,2/2/2025,Владивосток,CHERRY FEST 14+,"Гарри Поттер, косплей, ярмарка, конкурсы",14+,https://anime-conventions.ru/cities/2025.html,Гарри Поттер,косплей,ярмарка,-
2/8/2025,2/8/2025,Москва,Hao Fest  ,"Китайская культура, чайная церемония, мастер-классы по каллиграфии и плетению узелков, демонстрация китайской живописи, косплей, фотозоны, мерч, традиционная китайская музыка, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
2/9/2025,2/9/2025,Ржев,ASIACon 12+,"Косплей, выступление K-pop cover dance коллективов, ярмарка",12+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
2/15/2025,2/15/2025,Краснодар,Love Masquerade AniFest,"Гик-культура, косплей, игротека, тематическая фотозона, выступления k-pop танцоров, конкурсы, аквагрим",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,K-pop
2/16/2025,2/16/2025,Москва,Love Moscow Cosplay mini-fest,"Косплей, конкурсы, игры в зале, настольные игры, дискотека, гейм зона с Just Dance",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,Just-dance
2/16/2025,2/16/2025,Санкт-Петербург,Hanami fest,"Гейм-зона, интерактивные стенды, лекции, ярмарка, косплей",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,ярмарка,-
2/22/2025,2/22/2025,Миасс,АНИМЕФЕСТ!!!,"Аниме, косплей-шоу, кавер данс",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,Cover-dance
3/1/2025,3/1/2025,Кемерово,Yori Fest ,"Косплей, аниме, сериалы, фильмы, комиксы, манга, книги, k-pop, конкурсы, выступления, ярмарка, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,комиксы,K-pop
3/1/2025,3/1/2025,Пенза,Higuma ,"Косплей, cover-dance выступления, вокальные номера, ярмарка, аллея авторов, тематическая фотозона",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
3/2/2025,3/2/2025,Москва,CelestialsFest 14+,"Благословение небожителей, аллея авторов, конкурс косплей дефиле, квест",14+,https://anime-conventions.ru/cities/2025.html,Благословение небожителей,косплей,ярмарка,-
3/16/2025,3/16/2025,Москва,КОНСерва: Врата Бездны,"Genshin Impact, квест",нет,https://anime-conventions.ru/cities/2025.html,Genshin Impact,-,-,-
3/29/2025,3/30/2025,Казань,Fenix,"Японская, американская культура, традиционная япоская кухня, мастер-классы, косплей, фан-арт, караоке",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,караоке
4/12/2025,4/12/2025,Барнаул,Re:Fest / Renaissance Cosplay & Cover Dance Fest 14+,"Косплей, кавер дэнс, k-pop, аниме, игры, комиксы, ярмарка, интерактивные зоны",14+,https://anime-conventions.ru/cities/2025.html,-,косплей,комиксы,Cover-dance
4/13/2025,4/13/2025,Липецк,Saikoden Con 10+,"Аниме, ярмарка, выступления косплееров, конкурсы, дискотека",10+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
4/19/2025,4/19/2025,Абакан,TeenFest ,"Косплей, cover dance, фотозоны, ярмарка, мастер-классы, свободный микрофон",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,Cover-dance
4/19/2025,4/19/2025,Москва,Косплей-дефиле Арт-волна,"Genshin Impact, игровые зоны, фото-зона, рисование акварельными карандашами, косплей",нет,https://anime-conventions.ru/cities/2025.html,Genshin Impact,настольные игры,-,-
4/19/2025,4/19/2025,Ставрополь,Kitsune Fest siren song,"Косплей, интерактивные зоны развлечений, мастер-классы, лекции, маркет-зона ",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
4/20/2025,4/20/2025,Санкт-Петербург,Фестиваль Хоккайдо,"Косплей, развлекательные стенды и квест, уголок с таро, фотозона с кимоно, игры по станциям, ретро приставки RetroTech Squad , традиционная японская игра ГО, клуб настольных игр, аллея авторов, ярмарка",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
4/26/2025,4/26/2025,Москва,ДЕДфест ,"Ретро гик-культура, косплей-конкурс по фандомам до 2015 года, ретро-гейминг на винтажных компьютерах и консолях, интерактивная фотозона в стиле квартиры гика из 90х, ярмарка, викторина, квест ",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
4/26/2025,4/26/2025,Ульяновск,EoS Fest 12+,"Косплей, танцы от признанных команд, песни от любителей и профессионалов, ярмарка, настольные игры, мастер-классы, аллея авторов",12+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,мастер-классы,-
4/27/2025,4/27/2025,Волгоград,ЧитальНЯ 9 16+,"Косплей, книги",16+,https://anime-conventions.ru/cities/2025.html,-,косплей ,-,-
4/27/2025,4/27/2025,Иркутск,AnimeFest ,"Косплей, k-pop, аллея авторов, конкурсы",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,K-pop
4/27/2025,4/27/2025,Москва,Love Moscow Cosplay mini-fest от НЯпати 2.0 ,"Косплей, конкурсы, игры в зале, настольные игры, дискотека, гейм зона с Just Dance, маркет",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Just-dance
5/1/2025,5/4/2025,Воронеж,Всероссийский фестиваль японской анимации,"Косплей-шоу, лекции, мастер-классы, концерт, выставка, ярмарка",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,-
5/3/2025,5/3/2025,Тюмень,Kitsune-con 12+,"Ярмарка, аллея художников, настольные игры, розыгрыши, интерактивные развлечения, творческие номера, косплей, саберфайтинг, cover dance, фан-стенд",12+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,ярмарка,Cover-dance
5/10/2025,5/10/2025,Москва,CONstanta ,"HoYoversе, косплей",нет,https://anime-conventions.ru/cities/2025.html,Genshin Impact,косплей,-,-
5/10/2025,5/10/2025,Санкт-Петербург,Косплей-фестиваль M.Ani.Fest (МАФ) ,"Театральные постановки, вокальные номера, танцевальные выступления, каверы, косплееры, выставка артов и фотокосплея, ярмарка, тематический стенд, квесты, настольные игры, традиционные и компьютерные игры",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
5/25/2025,5/25/2025,Волгоград,O.M.G. Fest В мире фэнтези 12+,"Ярмарка, выставка артов и фотокосплея, развлекательные площадки, творческие мастер-классы, косплей, кей-поп каверденс, вокальная постановка",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,K-pop
5/25/2025,5/25/2025,Новосибирск,UNICORN ,"Косплей, тематические стенды, лекции, мастер-классы, geek market ",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,"мастер-классы, ярмарка",-
5/25/2025,5/25/2025,Тула,Аой-мацури 0+ ,"Культура восточной азии, музыка, изобразительное искусство, танцы, чайные церемонии, единоборства, кухня, языки, анимэ, традиционные игры, одежда и ремесла, философия, мировоззрение",0+,https://anime-conventions.ru/cities/2025.html,-, -,аниме,-
6/7/2025,6/7/2025,Челябинск,MOCon: Мюзиклы,"Конкурс косплея, конкурсы cover dance и вокала, ярмарки, аллея авторов, развлекательные тематические стенды",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
6/8/2025,6/8/2025,Москва,Фестиваль Персиковый источник 16+,"Китайские веб-новеллы, конкурс косплея, караоке и выступления специальных гостей, аллея авторов, лекции и мастер-классы, фандомные стенды, фотозоны, квест, тематическая своп-барахолка ",16+,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,караоке
6/8/2025,6/8/2025,Якутск,Фэнтези ФЕСТ ,"История, фэнтези-литература, кино, аниме, игровая культура, конкурсы косплея, бои на мечах, стрельба из лука, конные прогулки, квесты, мастер-классы, ярмарка, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,мастер-классы,-
6/14/2025,6/14/2025,Дубна,ATOMCOSCON 12+,"Костюмированный шоу-конкурс, ярмарка, мастер-классы, игротека ",12+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,ярмарка,-
6/14/2025,6/14/2025,Подольск,Хару ,Японская культура,нет,https://anime-conventions.ru/cities/2025.html,-,-,-,-
6/15/2025,6/15/2025,Белогорск,Okomikor ,"Игры, книги, комиксы, фильмы, манга, аниме",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,-
6/22/2025,6/22/2025,Москва,Love Moscow Cosplay mini-fest 5,"Косплей, конкурсы, игры в зале, настольные игры, дискотека, гейм зона с Just Dance, маркет",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Just-dance
7/5/2025,7/5/2025,Воронеж,FUJI FEST ,"Поп-культуры России, Японии, Китая",12+,https://anime-conventions.ru/cities/2025.html,-,косплей,комиксы,-
7/5/2025,7/6/2025,Москва,Epic Con Russia ,"Фильмы, сериалы, компьютерные игры",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,-,-
7/9/2025,7/12/2025,Астана,Comic Con ,"Косплей, фильмы, комиксы, видеоигры, сериалы, мультфильмы, аниме",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
7/11/2025,7/13/2025,Санкт-Петербург,AniCon ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
7/12/2025,7/12/2025,Екатеринбург,CatoonCon: Косой Переулок,Гарри Поттер,нет,https://anime-conventions.ru/cities/2025.html,Гарри Поттер,косплей,ярмарка,-
7/12/2025,7/13/2025,Пермь,PANICOMIX ,Косплей,12+,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
7/13/2025,7/13/2025,Москва,Яо фест,"Китайска культура, косплей",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,косплей,-
7/18/2025,7/20/2025,Омск,KAI TAIYO CON,"Культура восточной Азии, к-поп",нет,https://anime-conventions.ru/cities/2025.html,-,-,ярмарка,K-pop
7/19/2025,7/20/2025,Ростов-на-Дону,Танибата ,"Косплей, аниме, к-поп, Genshin Impact",12+,https://anime-conventions.ru/cities/2025.html,Genshin Impact,косплей,аниме,K-pop
7/19/2025,7/19/2025,Ульяновск,Танабата,"Косплей, Cover Dance, аниме, k-pop, восточная культура",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,Cover-dance
7/26/2025,7/26/2025,Магнитогорск,Нацу Мацури ,Косплей,12+,https://anime-conventions.ru/cities/2025.html,-,косплей,-,-
7/26/2025,7/26/2025,Тюмень,Kitsune chibi fest ,"Гик-культура, косплей, Cover Dance",6+,https://anime-conventions.ru/cities/2025.html,-,косплей,-,Cover-dance
8/9/2025,8/10/2025,Тула,Октакон ,Гик-культура,нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,-
8/10/2025,8/10/2025,Гродно,Кампай Гродно. Летняя аниме пати ,"Косплей, к-поп",12+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,ярмарка,Just-dance
8/16/2025,8/16/2025,Иваново,Пульс Лета ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
8/16/2025,8/16/2025,Пенза,Ajisai ,"Аниме, косплей, Cover Dance",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,комиксы,Cover-dance
8/16/2025,8/16/2025,Южно-Сахалинск,IKIGAI CON ,Косплей,16+,https://anime-conventions.ru/cities/2025.html,-,косплей,-,-
8/17/2025,8/17/2025,Москва,Love Moscow Cosplay mini-fest ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,-,-
8/22/2025,8/24/2025,Калининград,Panicon! ,"Косплей, гик-культура",16+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Just-dance
8/23/2025,8/23/2025,Чита,You Con ,"Косплей, аниме",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,комиксы,-
8/24/2025,8/24/2025,Санкт-Петербург,Hanami fest,"Японская культура, аниме, искусство",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
9/6/2025,9/6/2025,Воронеж,VRNCon ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,-,-
9/13/2025,9/13/2025,Кемерово,Aki no Yume ,"Косплей, гик-культура, аниме",16+,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,K-pop
9/13/2025,9/13/2025,Краснодар,Фандом Балкон,Поп-культура,нет,https://anime-conventions.ru/cities/2025.html,-,-,ярмарка,-
9/27/2025,9/27/2025,Новосибирск,VK Asian Dragon Fest,"Азиатская культура, к-поп",нет,https://anime-conventions.ru/cities/2025.html,-,-,мастер-классы,K-pop
9/28/2025,9/28/2025,Волгоград,Японский ШкАФ ,"Косплей, компьютерные игры, книги",6+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
9/28/2025,9/28/2025,Москва,Love Moscow Cosplay mini-fest 8,"Косплей, аниме",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры ,аниме,-
10/12/2025,10/12/2025,Севастополь,Moon Fest ,"Косплей, к-поп",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
10/12/2025,10/12/2025,Сочи,Shan-Fest ,"Даньмэй, китайская культура",16+,https://anime-conventions.ru/cities/2025.html,-,-,-,-
10/18/2025,10/19/2025,Москва,Hinode ,Восточная культура,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
10/19/2025,10/19/2025,Москва,Дом-фест,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
10/20/2025,10/20/2025,Москва,Симфония Аниме ,"Аниме, Кеничи Симура",6+,https://anime-conventions.ru/cities/2025.html,Наруто,-,аниме,-
10/25/2025,10/25/2025,Белгород,NEKOSHI ,Гарри Поттер,нет,https://anime-conventions.ru/cities/2025.html,Гарри Поттер,-,-,-
10/25/2025,10/25/2025,Краснодар,Ghostly AniFest,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
10/26/2025,10/26/2025,Воронеж,Shift On Fandom Fest ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
10/26/2025,10/26/2025,Москва,Хеллоуин от Love Moscow Cosplay mini-fest,"Косплей, дефиле, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,-,-
10/26/2025,10/26/2025,Нижний Новгород,Kazuha fest ,"Косплей, аниме",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,-
11/1/2025,11/1/2025,Липецк,Saikoden Halloween ,Косплей,12+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
11/9/2025,11/9/2025,Москва,CONstanta ,"Косплей, HoYoversе, Геншин Импакт, Хонкай Стар Рейл",нет,https://anime-conventions.ru/cities/2025.html,Genshin Impact,косплей,-,-
11/9/2025,11/9/2025,Москва,Monsters Party ,"""Всё ради игры"", ""Песнь Сорокопута""",нет,https://anime-conventions.ru/cities/2025.html,Всё ради игры,-,-,-
11/16/2025,11/16/2025,Волгоград,Мармелад Фест ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,-,-
11/16/2025,11/16/2025,Москва,Фестиваль косплея Тогучи,"Косплей, восточная, западная и российская культуры",12+,https://anime-conventions.ru/cities/2025.html,-,косплей,Комиксы,-
11/23/2025,11/23/2025,Кола,ActionFest ,"Косплей, Cover Dance",12+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
11/23/2025,11/23/2025,Москва,ЛЕНЬтябрь от Love Moscow Cosplay mini-fest 10 ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,-,-
12/6/2025,12/6/2025,Москва,Impact Wave,"HoYoverse, аниме, комиксы, фильмы",нет,https://anime-conventions.ru/cities/2025.html,Genshin Impact,-,комиксы,-
12/6/2025,12/6/2025,Орёл,TOSHI FEST ,"Гик-культура, косплей",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
12/21/2025,12/21/2025,Якутск,Хотон ,Косплей,нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-